File,Diameter (mm),Velocity (mm/s),Coverage (%),Weld Radius (mm),Weld Height (mm),Weld Half-width (mm),Depth (mm),S11 (Mpa),S22 (Mpa),S33 (Mpa),S11-S22 (Mpa)
calc2,0.4,70000,200,0.6,1.8,5.5,0.0,-79.81880073,-18.89418371,-77.66238391,-60.92461702
calc2,0.4,70000,200,0.6,1.8,5.5,0.0137,-121.5221871,-9.482258963,-116.70928,-112.039928137
calc2,0.4,70000,200,0.6,1.8,5.5,0.0275,-201.1923341,-1.02585989,-191.1818645,-200.16647421
calc2,0.4,70000,200,0.6,1.8,5.5,0.0412,-280.629624,-3.544621293,-269.2371421,-277.085002707
calc2,0.4,70000,200,0.6,1.8,5.5,0.0549,-337.1634277,-9.164515958,-329.3036033,-327.998911742
calc2,0.4,70000,200,0.6,1.8,5.5,0.0686,-367.6297837,-13.82151613,-365.6850062,-353.80826757
calc2,0.4,70000,200,0.6,1.8,5.5,0.0824,-383.5848726,-18.57521943,-384.3991777,-365.00965317
calc2,0.4,70000,200,0.6,1.8,5.5,0.0961,-392.2332534,-22.96341689,-393.1173664,-369.26983651
calc2,0.4,70000,200,0.6,1.8,5.5,0.11,-396.350677,-26.93860093,-394.8099793,-369.41207607
calc2,0.4,70000,200,0.6,1.8,5.5,0.124,-397.1886143,-30.46037448,-390.8733154,-366.72823982
calc2,0.4,70000,200,0.6,1.8,5.5,0.137,-394.4992438,-33.35108378,-381.6399153,-361.14816002
calc2,0.4,70000,200,0.6,1.8,5.5,0.151,-388.7958361,-35.7170247,-369.6913857,-353.0788114
calc2,0.4,70000,200,0.6,1.8,5.5,0.165,-378.2820275,-37.56853122,-353.7452872,-340.71349628
calc2,0.4,70000,200,0.6,1.8,5.5,0.178,-358.77477,-38.46133683,-329.7720172,-320.31343317
calc2,0.4,70000,200,0.6,1.8,5.5,0.192,-334.5109959,-38.96068975,-301.7719711,-295.55030615
calc2,0.4,70000,200,0.6,1.8,5.5,0.206,-299.3366598,-38.57313733,-264.288208,-260.76352247
calc2,0.4,70000,200,0.6,1.8,5.5,0.22,-261.7994338,-37.92323458,-224.8852618,-223.87619922
calc2,0.4,70000,200,0.6,1.8,5.5,0.233,-221.2134037,-36.56683584,-186.0263837,-184.64656786
calc2,0.4,70000,200,0.6,1.8,5.5,0.247,-179.5484503,-35.1213526,-146.4800085,-144.4270977
calc2,0.4,70000,200,0.6,1.8,5.5,0.261,-142.687643,-33.39661292,-115.2895722,-109.29103008
calc2,0.4,70000,200,0.6,1.8,5.5,0.275,-105.6937043,-31.61203509,-84.71576226,-74.08166921
calc2,0.4,70000,200,0.6,1.8,5.5,0.288,-75.92684296,-29.80290655,-61.45873017,-46.12393641
