Test,Depth(mm),S11-S33(Mpa)
Test1,0.00,-519.9704596
Test1,0.01,-512.1145266
Test1,0.03,-492.0859941
Test1,0.04,-455.452862
Test1,0.06,-406.8447628
Test1,0.08,-366.1873194
Test1,0.11,-345.722241
Test1,0.13,-342.4338044
Test1,0.16,-341.2155588
Test1,0.20,-329.653021
Test1,0.24,-307.8964183
Test1,0.28,-281.9023459
Test1,0.33,-253.1221238
Test1,0.38,-197.4163719
Test1,0.45,-111.0214268
Test1,0.52,-21.82399072
Test1,0.60,23.45262689
Test1,0.69,9.498795626
Test1,0.79,-17.62580707
Test1,0.90,-33.63676094
Test1,1.03,-38.66504082
Test2,0.00,-342.7976654
Test2,0.02,-349.1013026
Test2,0.04,-366.5932842
Test2,0.06,-377.4699004
Test2,0.08,-372.0101093
Test2,0.11,-361.5832692
Test2,0.13,-347.0971044
Test2,0.16,-323.4696584
Test2,0.20,-293.5383771
Test2,0.23,-261.6866838
Test2,0.27,-218.7974123
Test2,0.31,-147.8794485
Test2,0.36,-70.28625372
Test2,0.41,-15.30463667
Test2,0.46,1.643363613
Test2,0.52,-14.84348823
Test2,0.58,-35.24682093
Test2,0.65,-50.16373484
Test2,0.73,-60.53746254
Test2,0.81,-67.47479073
Test2,0.90,-70.20004287
Test3,0.00,-424.3010095
Test3,0.02,-423.2292328
Test3,0.04,-416.0003812
Test3,0.07,-394.6808861
Test3,0.09,-362.6372181
Test3,0.12,-338.3239409
Test3,0.15,-331.8025946
Test3,0.19,-332.5341448
Test3,0.22,-318.4501934
Test3,0.26,-289.6479659
Test3,0.31,-253.2938959
Test3,0.36,-198.2228167
Test3,0.41,-112.8323121
Test3,0.46,-23.28728103
Test3,0.53,27.00003935
Test3,0.59,25.63544936
Test3,0.67,1.313776361
Test3,0.75,-19.15286088
Test3,0.83,-34.23507931
Test3,0.93,-43.97764013
Test3,1.03,-47.61616447
Test4,0.00,-330.7081161
Test4,0.02,-315.732882
Test4,0.04,-322.9149088
Test4,0.06,-346.0342839
Test4,0.08,-348.1306105
Test4,0.11,-339.4886031
Test4,0.13,-324.28979
Test4,0.16,-300.7866549
Test4,0.20,-270.634614
Test4,0.23,-232.2228651
Test4,0.27,-171.4319889
Test4,0.31,-82.89733533
Test4,0.36,-1.076616006
Test4,0.40,30.2350305
Test4,0.46,19.29855644
Test4,0.52,-0.161562212
Test4,0.58,-16.03301022
Test4,0.65,-28.40251355
Test4,0.72,-37.48749559
Test4,0.81,-43.5574872
Test4,0.89,-45.90487839
Test5,0.00,-523.534125
Test5,0.01,-505.58224
Test5,0.03,-458.3844177
Test5,0.04,-401.3088038
Test5,0.06,-365.0368596
Test5,0.08,-358.9050026
Test5,0.10,-358.7871214
Test5,0.12,-345.5955736
Test5,0.15,-317.9676485
Test5,0.18,-283.2892309
Test5,0.20,-231.8788083
Test5,0.24,-147.0540944
Test5,0.27,-54.04140232
Test5,0.31,17.4013914
Test5,0.35,40.61745778
Test5,0.39,22.52960956
Test5,0.44,2.67626247
Test5,0.49,-11.78772908
Test5,0.55,-21.41180805
Test5,0.61,-26.89183323
Test5,0.68,-28.67287752
Test6,0.00,-294.3622149
Test6,0.01,-296.1215105
Test6,0.02,-308.7332201
Test6,0.03,-317.2058185
Test6,0.04,-302.1990264
Test6,0.05,-272.6372213
Test6,0.06,-245.0465791
Test6,0.08,-225.0813897
Test6,0.09,-208.07736
Test6,0.11,-190.172664
Test6,0.14,-169.0775979
Test6,0.16,-138.5651009
Test6,0.19,-78.51220704
Test6,0.22,-11.06112788
Test6,0.26,21.92666072
Test6,0.30,19.17220582
Test6,0.34,3.639787773
Test6,0.39,-6.865688477
Test6,0.45,-14.85046682
Test6,0.52,-20.96176093
Test6,0.59,-23.44779529
Test7,0.00,-430.0425869
Test7,0.01,-425.1711498
Test7,0.03,-411.3312652
Test7,0.04,-386.962292
Test7,0.06,-362.3052189
Test7,0.08,-346.5185675
Test7,0.10,-333.6014007
Test7,0.12,-307.6884602
Test7,0.15,-269.2930762
Test7,0.18,-220.3695759
Test7,0.20,-140.8413789
Test7,0.24,-33.94154052
Test7,0.27,46.5704967
Test7,0.31,62.53610149
Test7,0.35,43.20259989
Test7,0.39,23.94467584
Test7,0.44,8.449763809
Test7,0.49,-3.348688384
Test7,0.55,-11.76107014
Test7,0.61,-17.22289958
Test7,0.68,-19.328734
Test8,0.00,-273.1358261
Test8,0.01,-270.7550725
Test8,0.02,-280.2322828
Test8,0.04,-271.547612
Test8,0.05,-237.6641721
Test8,0.07,-210.3250183
Test8,0.09,-193.4017673
Test8,0.11,-176.046502
Test8,0.13,-149.1414004
Test8,0.15,-109.7563871
Test8,0.18,-38.64534365
Test8,0.21,32.23972289
Test8,0.24,48.09042836
Test8,0.27,35.25039504
Test8,0.30,23.15429497
Test8,0.34,13.10966256
Test8,0.38,5.360219798
Test8,0.43,-0.324091104
Test8,0.48,-4.251065299
Test8,0.53,-6.90576642
Test8,0.59,-8.026103871
Test9,0.00,-551.4205555
Test9,0.01,-550.9740501
Test9,0.02,-545.1768397
Test9,0.03,-518.9569511
Test9,0.04,-469.7913119
Test9,0.05,-418.5686552
Test9,0.06,-387.6774695
Test9,0.08,-378.1682002
Test9,0.10,-376.1266951
Test9,0.12,-366.9976123
Test9,0.14,-342.8763969
Test9,0.16,-308.0723248
Test9,0.19,-272.6799415
Test9,0.22,-226.9286357
Test9,0.26,-143.3840363
Test9,0.30,-39.05737246
Test9,0.35,33.08405356
Test9,0.40,39.84734753
Test9,0.46,13.48251991
Test9,0.52,-2.550579895
Test9,0.60,-8.010328993
Test10,0.00,-380.2280402
Test10,0.01,-372.6801736
Test10,0.01,-373.0848645
Test10,0.02,-386.4404972
Test10,0.03,-387.8779848
Test10,0.04,-375.3510342
Test10,0.05,-359.3719658
Test10,0.06,-343.0872814
Test10,0.08,-321.9613768
Test10,0.09,-295.6763006
Test10,0.11,-269.2557154
Test10,0.13,-245.1146587
Test10,0.16,-213.0124487
Test10,0.18,-143.6374013
Test10,0.22,-53.19819562
Test10,0.25,5.463774306
Test10,0.29,9.966278235
Test10,0.34,-12.40159227
Test10,0.39,-27.69113351
Test10,0.45,-35.93355889
Test10,0.52,-38.49190155
Test11,0.00,-490.2916955
Test11,0.01,-490.1740292
Test11,0.02,-489.2837923
Test11,0.04,-478.616932
Test11,0.05,-448.7557065
Test11,0.07,-415.0430709
Test11,0.09,-392.5687429
Test11,0.11,-377.5686137
Test11,0.13,-350.9599947
Test11,0.15,-307.3763485
Test11,0.18,-254.8329334
Test11,0.21,-182.1085973
Test11,0.24,-78.9206846
Test11,0.27,22.93489507
Test11,0.31,86.26465999
Test11,0.35,100.9691612
Test11,0.39,88.91245216
Test11,0.44,77.00063091
Test11,0.49,67.82800838
Test11,0.54,61.13202828
Test11,0.60,58.21266656
Test12,0.00,-322.1787082
Test12,0.01,-309.3578665
Test12,0.02,-317.3629954
Test12,0.03,-335.745
Test12,0.05,-334.4107246
Test12,0.06,-325.0388857
